"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
"3742",1,"113","",3,"","",""
"3741",1,"110","",3,"","",""
"3699",1,"V01","",3,"","",""
"3698",1,"K04","",3,"","",""
"3696",1,"B23","",3,"","",""
"3683",1,"RE0","",3,"","",""
"3681",1,"407","",3,"","",""
"3675",1,"RE8","",3,"","",""
"3673",1,"R07","",3,"","",""
"3672",1,"N08","",3,"","",""
"3671",1,"E35","",3,"","",""
"3670",1,"D42","",3,"","",""
"3669",1,"962","",3,"","",""
"3668",1,"742","",3,"","",""
"3666",1,"327","",3,"","",""
"3652",1,"551","",3,"","",""
"3637",1,"850","",3,"","",""
"3636",1,"755","",3,"","",""
"3631",1,"K48","",3,"","",""
"3615",1,"RE9","",3,"","",""
"3614",1,"RE7","",3,"","",""
"3613",1,"RE6","",3,"","",""
"3612",1,"RE5","",3,"","",""
"3611",1,"RE4","",3,"","",""
"3610",1,"RE3","",3,"","",""
"3609",1,"RE2","",3,"","",""
"3608",1,"RE1","",3,"","",""
"3607",1,"P07","",3,"","",""
"3606",1,"MH2","",3,"","",""
"3605",1,"MH1","",3,"","",""
"3604",1,"K47","",3,"","",""
"3603",1,"K45","",3,"","",""
"3602",1,"E32","",3,"","",""
"3601",1,"D37","",3,"","",""
"3600",1,"CE2","",3,"","",""
"3599",1,"CE1","",3,"","",""
"3598",1,"C19","",3,"","",""
"3597",1,"456","",3,"","",""
"3574",1,"P21","",3,"","",""
"3573",1,"P20","",3,"","",""
"3572",1,"P17","",3,"","",""
"3571",1,"L07","",3,"","",""
"3570",1,"K46","",3,"","",""
"3569",1,"K40","",3,"","",""
"3568",1,"K39","",3,"","",""
"3563",1,"F04","",3,"","",""
"3562",1,"E34","",3,"","",""
"3561",1,"D41","",3,"","",""
"3560",1,"D40","",3,"","",""
"3530",1,"271","",3,"","",""
"3529",1,"261","",3,"","",""
"3528",1,"223","",3,"","",""
"3527",1,"222","",3,"","",""
"3526",1,"221","",3,"","",""
"3525",1,"212","",3,"","",""
"3524",1,"211","",3,"","",""
"3523",1,"201","",3,"","",""
"3522",1,"191","",3,"","",""
"3521",1,"190","",3,"","",""
"3516",1,"W01","",3,"","",""
"3515",1,"U02","",3,"","",""
"3514",1,"U01","",3,"","",""
"3512",1,"S03","",3,"","",""
"3511",1,"S02","",3,"","",""
"3510",1,"S01","",3,"","",""
"3509",1,"R06","",3,"","",""
"3508",1,"R05","",3,"","",""
"3507",1,"R04","",3,"","",""
"3506",1,"R03","",3,"","",""
"3505",1,"R02","",3,"","",""
"3504",1,"R01","",3,"","",""
"3502",1,"P22","",3,"","",""
"3501",1,"P19","",3,"","",""
"3500",1,"P18","",3,"","",""
"3499",1,"P16","",3,"","",""
"3498",1,"P15","",3,"","",""
"3497",1,"P14","",3,"","",""
"3496",1,"P13","",3,"","",""
"3495",1,"P12","",3,"","",""
"3494",1,"P11","",3,"","",""
"3493",1,"P10","",3,"","",""
"3492",1,"P09","",3,"","",""
"3491",1,"P06","",3,"","",""
"3490",1,"P05","",3,"","",""
"3489",1,"P04","",3,"","",""
"3488",1,"P03","",3,"","",""
"3487",1,"P02","",3,"","",""
"3486",1,"P01","",3,"","",""
"3485",1,"N07","",3,"","",""
"3484",1,"N06","",3,"","",""
"3483",1,"N05","",3,"","",""
"3482",1,"N04","",3,"","",""
"3481",1,"N03","",3,"","",""
"3480",1,"N02","",3,"","",""
"3479",1,"N01","",3,"","",""
"3478",1,"M18","",3,"","",""
"3477",1,"M17","",3,"","",""
"3476",1,"M16","",3,"","",""
"3475",1,"M15","",3,"","",""
"3474",1,"M14","",3,"","",""
"3473",1,"M13","",3,"","",""
"3472",1,"M12","",3,"","",""
"3471",1,"M11","",3,"","",""
"3470",1,"M10","",3,"","",""
"3469",1,"M09","",3,"","",""
"3468",1,"M08","",3,"","",""
"3467",1,"M07","",3,"","",""
"3466",1,"M06","",3,"","",""
"3465",1,"M05","",3,"","",""
"3464",1,"M04","",3,"","",""
"3463",1,"M03","",3,"","",""
"3462",1,"M02","",3,"","",""
"3461",1,"M01","",3,"","",""
"3460",1,"L06","",3,"","",""
"3459",1,"L05","",3,"","",""
"3458",1,"L04","",3,"","",""
"3457",1,"L03","",3,"","",""
"3456",1,"L02","",3,"","",""
"3455",1,"L01","",3,"","",""
"3454",1,"K44","",3,"","",""
"3453",1,"K43","",3,"","",""
"3452",1,"K42","",3,"","",""
"3451",1,"K41","",3,"","",""
"3450",1,"K38","",3,"","",""
"3449",1,"K37","",3,"","",""
"3448",1,"K36","",3,"","",""
"3447",1,"K35","",3,"","",""
"3446",1,"K34","",3,"","",""
"3445",1,"K33","",3,"","",""
"3444",1,"K32","",3,"","",""
"3443",1,"K31","",3,"","",""
"3442",1,"K30","",3,"","",""
"3441",1,"K29","",3,"","",""
"3440",1,"K28","",3,"","",""
"3439",1,"K27","",3,"","",""
"3438",1,"K26","",3,"","",""
"3437",1,"K25","",3,"","",""
"3436",1,"K24","",3,"","",""
"3435",1,"K23","",3,"","",""
"3434",1,"K21","",3,"","",""
"3433",1,"K20","",3,"","",""
"3432",1,"K19","",3,"","",""
"3431",1,"K18","",3,"","",""
"3430",1,"K17","",3,"","",""
"3429",1,"K16","",3,"","",""
"3428",1,"K15","",3,"","",""
"3427",1,"K14","",3,"","",""
"3426",1,"K13","",3,"","",""
"3425",1,"K12","",3,"","",""
"3424",1,"K11","",3,"","",""
"3423",1,"K10","",3,"","",""
"3422",1,"K09","",3,"","",""
"3421",1,"K08","",3,"","",""
"3420",1,"K07","",3,"","",""
"3419",1,"K06","",3,"","",""
"3418",1,"K05","",3,"","",""
"3417",1,"K03","",3,"","",""
"3416",1,"K02","",3,"","",""
"3415",1,"K01","",3,"","",""
"3414",1,"H10","",3,"","",""
"3413",1,"H09","",3,"","",""
"3412",1,"H08","",3,"","",""
"3411",1,"H07","",3,"","",""
"3410",1,"H06","",3,"","",""
"3409",1,"H05","",3,"","",""
"3408",1,"H04","",3,"","",""
"3407",1,"H03","",3,"","",""
"3406",1,"H02","",3,"","",""
"3405",1,"H01","",3,"","",""
"3404",1,"G12","",3,"","",""
"3403",1,"G11","",3,"","",""
"3402",1,"G10","",3,"","",""
"3401",1,"G09","",3,"","",""
"3400",1,"G08","",3,"","",""
"3399",1,"G07","",3,"","",""
"3398",1,"G06","",3,"","",""
"3397",1,"G05","",3,"","",""
"3396",1,"G04","",3,"","",""
"3395",1,"G03","",3,"","",""
"3394",1,"G02","",3,"","",""
"3393",1,"G01","",3,"","",""
"3392",1,"F03","",3,"","",""
"3391",1,"F02","",3,"","",""
"3390",1,"F01","",3,"","",""
"3389",1,"EE8","",3,"","",""
"3388",1,"EE7","",3,"","",""
"3387",1,"EE6","",3,"","",""
"3386",1,"EE5","",3,"","",""
"3385",1,"EE4","",3,"","",""
"3384",1,"EE3","",3,"","",""
"3383",1,"EE2","",3,"","",""
"3382",1,"EE1","",3,"","",""
"3381",1,"E33","",3,"","",""
"3380",1,"E31","",3,"","",""
"3379",1,"E30","",3,"","",""
"3378",1,"E29","",3,"","",""
"3377",1,"E28","",3,"","",""
"3376",1,"E27","",3,"","",""
"3375",1,"E26","",3,"","",""
"3374",1,"E25","",3,"","",""
"3373",1,"E24","",3,"","",""
"3372",1,"E23","",3,"","",""
"3371",1,"E22","",3,"","",""
"3370",1,"E21","",3,"","",""
"3369",1,"E20","",3,"","",""
"3368",1,"E19","",3,"","",""
"3367",1,"E18","",3,"","",""
"3366",1,"E17","",3,"","",""
"3365",1,"E16","",3,"","",""
"3364",1,"E15","",3,"","",""
"3363",1,"E14","",3,"","",""
"3362",1,"E13","",3,"","",""
"3361",1,"E12","",3,"","",""
"3360",1,"E11","",3,"","",""
"3359",1,"E10","",3,"","",""
"3358",1,"E09","",3,"","",""
"3357",1,"E08","",3,"","",""
"3356",1,"E07","",3,"","",""
"3355",1,"E06","",3,"","",""
"3354",1,"E05","",3,"","",""
"3353",1,"E04","",3,"","",""
"3352",1,"E03","",3,"","",""
"3351",1,"E02","",3,"","",""
"3350",1,"E01","",3,"","",""
"3349",1,"D39","",3,"","",""
"3348",1,"D38","",3,"","",""
"3347",1,"D33","",3,"","",""
"3346",1,"D32","",3,"","",""
"3345",1,"D31","",3,"","",""
"3344",1,"D30","",3,"","",""
"3343",1,"D29","",3,"","",""
"3342",1,"D28","",3,"","",""
"3341",1,"D27","",3,"","",""
"3340",1,"D26","",3,"","",""
"3339",1,"D25","",3,"","",""
"3338",1,"D24","",3,"","",""
"3337",1,"D23","",3,"","",""
"3336",1,"D22","",3,"","",""
"3335",1,"D21","",3,"","",""
"3334",1,"D20","",3,"","",""
"3333",1,"D19","",3,"","",""
"3332",1,"D18","",3,"","",""
"3331",1,"D17","",3,"","",""
"3330",1,"D16","",3,"","",""
"3329",1,"D15","",3,"","",""
"3328",1,"D14","",3,"","",""
"3327",1,"D13","",3,"","",""
"3326",1,"D12","",3,"","",""
"3325",1,"D11","",3,"","",""
"3324",1,"D10","",3,"","",""
"3323",1,"D09","",3,"","",""
"3322",1,"D08","",3,"","",""
"3321",1,"D07","",3,"","",""
"3320",1,"D06","",3,"","",""
"3319",1,"D05","",3,"","",""
"3318",1,"D04","",3,"","",""
"3317",1,"D03","",3,"","",""
"3316",1,"D02","",3,"","",""
"3315",1,"D01","",3,"","",""
"3314",1,"C18","",3,"","",""
"3313",1,"C17","",3,"","",""
"3312",1,"C16","",3,"","",""
"3311",1,"C15","",3,"","",""
"3310",1,"C14","",3,"","",""
"3309",1,"C12","",3,"","",""
"3308",1,"C11","",3,"","",""
"3307",1,"C10","",3,"","",""
"3306",1,"C09","",3,"","",""
"3305",1,"C08","",3,"","",""
"3304",1,"C07","",3,"","",""
"3303",1,"C06","",3,"","",""
"3302",1,"C05","",3,"","",""
"3301",1,"C04","",3,"","",""
"3300",1,"C03","",3,"","",""
"3299",1,"C02","",3,"","",""
"3298",1,"C01","",3,"","",""
"3297",1,"B26","",3,"","",""
"3296",1,"B24","",3,"","",""
"3295",1,"B22","",3,"","",""
"3294",1,"B21","",3,"","",""
"3293",1,"B20","",3,"","",""
"3292",1,"B19","",3,"","",""
"3291",1,"B18","",3,"","",""
"3290",1,"B17","",3,"","",""
"3289",1,"B16","",3,"","",""
"3288",1,"B15","",3,"","",""
"3287",1,"B14","",3,"","",""
"3286",1,"B13","",3,"","",""
"3285",1,"B12","",3,"","",""
"3284",1,"B11","",3,"","",""
"3283",1,"B10","",3,"","",""
"3282",1,"B09","",3,"","",""
"3281",1,"B08","",3,"","",""
"3280",1,"B07","",3,"","",""
"3279",1,"B06","",3,"","",""
"3278",1,"B05","",3,"","",""
"3277",1,"B04","",3,"","",""
"3276",1,"B03","",3,"","",""
"3275",1,"B01","",3,"","",""
"3274",1,"A19","",3,"","",""
"3273",1,"A18","",3,"","",""
"3272",1,"A17","",3,"","",""
"3271",1,"A15","",3,"","",""
"3270",1,"A14","",3,"","",""
"3269",1,"A13","",3,"","",""
"3268",1,"A12","",3,"","",""
"3266",1,"A10","",3,"","",""
"3265",1,"A09","",3,"","",""
"3264",1,"A08","",3,"","",""
"3263",1,"A07","",3,"","",""
"3262",1,"A06","",3,"","",""
"3261",1,"A05","",3,"","",""
"3260",1,"A04","",3,"","",""
"3259",1,"A03","",3,"","",""
"3258",1,"A02","",3,"","",""
"3257",1,"A01","",3,"","",""
"3256",1,"961","",3,"","",""
"3253",1,"941","",3,"","",""
"3251",1,"937","",3,"","",""
"3250",1,"936","",3,"","",""
"3249",1,"935","",3,"","",""
"3248",1,"934","",3,"","",""
"3247",1,"933","",3,"","",""
"3246",1,"932","",3,"","",""
"3245",1,"931","",3,"","",""
"3243",1,"921","",3,"","",""
"3241",1,"911","",3,"","",""
"3239",1,"904","",3,"","",""
"3238",1,"903","",3,"","",""
"3237",1,"902","",3,"","",""
"3236",1,"901","",3,"","",""
"3235",1,"833","",3,"","",""
"3234",1,"832","",3,"","",""
"3233",1,"831","",3,"","",""
"3232",1,"824","",3,"","",""
