id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
28590,EDXB,small_airport,Heide-Büsum Airport,54153332.0,8901667.0,7.0,EU,DE,DE-SH,Oesterdeichstrich,yes,EDXB,HEI,EDXB,,http://www.edxb.de,https://en.wikipedia.org/wiki/Heide-Buesum_Airport,
28591,EDXH,small_airport,Helgoland-Düne Airport,5418528.0,7915833.0,8.0,EU,DE,DE-SH,Helgoland,yes,EDXH,HGL,EDXH,,https://www.flugplatz-helgoland.de/,https://en.wikipedia.org/wiki/Heligoland_Airport,
2296,EDXW,medium_airport,Westerland Sylt Airport,549132.0,834047.0,51.0,EU,DE,DE-SH,Sylt,yes,EDXW,GWT,EDXW,,https://www.flughafen-sylt.de,https://en.wikipedia.org/wiki/Sylt_Airport,
2298,EEKA,medium_airport,Kärdla Airport,5899080000000000.0,2.28307e+16,18.0,EU,EE,EE-39,Kärdla,yes,EEKA,KDL,EEKA,,,https://en.wikipedia.org/wiki/K%C3%A4rdla_Airport,
2299,EEKE,medium_airport,Kuressaare Airport,5822990000000000.0,2250950000000000.0,14.0,EU,EE,EE-74,Kuressaare,yes,EEKE,URE,EEKE,,http://www.eeke.ee/,https://en.wikipedia.org/wiki/Kuressaare_Airport,
2300,EEPU,medium_airport,Pärnu Airport,5841900000000000.0,2447280000000000.0,47.0,EU,EE,EE-67,Pärnu,yes,EEPU,EPU,EEPU,,,https://en.wikipedia.org/wiki/P%C3%A4rnu_Airport,
2301,EETN,large_airport,Lennart Meri Tallinn Airport,59413246.0,2483264.0,131.0,EU,EE,EE-37,Tallinn,yes,EETN,TLL,EETN,,http://www.tallinn-airport.ee/eng,https://en.wikipedia.org/wiki/Tallinn_Airport,
2302,EETU,medium_airport,Tartu Airport,58307438.0,26686473.0,220.0,EU,EE,EE-7B,Reola,yes,EETU,TAY,EETU,,,https://en.wikipedia.org/wiki/Tartu_Airport,
2303,EFET,medium_airport,Enontekio Airport,68362600000000.0,23424300000000.0,1005.0,EU,FI,FI-10,Enontekio,yes,EFET,ENF,EFET,,http://www.finavia.fi/en/enontekio/,https://en.wikipedia.org/wiki/Enonteki%C3%B6_Airport,
2307,EFHK,large_airport,Helsinki Vantaa Airport,60318363.0,24963341.0,179.0,EU,FI,FI-18,Helsinki (Vantaa),yes,EFHK,HEL,EFHK,,http://www.finavia.fi/en/helsinki-airport,https://en.wikipedia.org/wiki/Helsinki_Airport,
2314,EFIV,large_airport,Ivalo Airport,686073.0,274053.0,481.0,EU,FI,FI-10,Ivalo,yes,EFIV,IVL,EFIV,,http://www.finavia.fi/en/ivalo/,https://en.wikipedia.org/wiki/Ivalo_Airport,
2315,EFJO,medium_airport,Joensuu Airport,62658815.0,29619398.0,398.0,EU,FI,FI-13,Joensuu,yes,EFJO,JOE,EFJO,,http://www.finavia.fi/en/joensuu/,https://en.wikipedia.org/wiki/Joensuu_Airport,
2316,EFJY,medium_airport,Jyväskylä Airport,62399502.0,25678301.0,459.0,EU,FI,FI-08,Jyväskylän Maalaiskunta,yes,EFJY,JYV,EFJY,,https://www.finavia.fi/en/jyvaskyla/,https://en.wikipedia.org/wiki/Jyv%C3%A4skyl%C3%A4_Airport,
2318,EFKE,medium_airport,Kemi-Tornio Airport,65778700000000.0,24582100000000.0,61.0,EU,FI,FI-10,Kemi / Tornio,yes,EFKE,KEM,EFKE,,http://www.finavia.fi/en/kemi-tornio/,https://en.wikipedia.org/wiki/Kemi-Tornio_Airport,
2319,EFKI,medium_airport,Kajaani Airport,642855.0,276924.0,483.0,EU,FI,FI-05,Kajaani,yes,EFKI,KAJ,EFKI,,https://www.finavia.fi/en/kajaani/,https://en.wikipedia.org/wiki/Kajaani_Airport,
2321,EFKK,medium_airport,Kokkola-Pietarsaari Airport,63721199.0,23143101.0,84.0,EU,FI,FI-07,Kokkola / Kruunupyy,yes,EFKK,KOK,EFKK,,https://www.finavia.fi/en/kokkola-pietarsaari/,https://en.wikipedia.org/wiki/Kokkola-Pietarsaari_Airport,Kronoby Airport
2324,EFKS,medium_airport,Kuusamo Airport,65987602.0,29239401.0,866.0,EU,FI,FI-14,Kuusamo,yes,EFKS,KAO,EFKS,,http://www.finavia.fi/en/kuusamo/,https://en.wikipedia.org/wiki/Kuusamo_Airport,
