route_origin,route_destination,search_date,departure_time,arrival_time,legs
Amsterdam Centraal,London,22.01.2026,16:40,19:57,"[[""Amsterdam Centraal Eurostar"", [null, ""16:40""]], [""Rotterdam Centraal Eurostar"", [""17:23"", ""17:28""]], [""Bruxelles-Midi Eurostar"", [""18:38"", ""18:52""]], [""Lille Europe Eurostar"", [""19:28"", ""19:33""]], [""London St. Pancras International"", [""19:57"", null]]]"
Amsterdam Centraal,London,22.01.2026,16:10,19:57,"[[""Amsterdam Centraal"", [null, ""16:10""]], [""Schiphol (Airport)"", [""16:24"", ""16:27""]], [""Rotterdam Centraal"", [""16:52"", ""16:58""]], [""Antwerpen Centraal"", [""17:30"", ""17:33""]], [""Bruxelles Midi"", [null, ""18:06""]], [""Bruxelles-Midi Eurostar"", [null, ""18:52""]], [""Lille Europe Eurostar"", [""19:28"", ""19:33""]], [""London St. Pancras International"", [""19:57"", null]]]"
Amsterdam Centraal,London,22.01.2026,18:40,21:57,"[[""Amsterdam Centraal Eurostar"", [null, ""18:40""]], [""Rotterdam Centraal Eurostar"", [""19:23"", ""19:28""]], [""Bruxelles-Midi Eurostar"", [""20:38"", ""20:56""]], [""Lille Europe Eurostar"", [""21:30"", ""21:35""]], [""London St. Pancras International"", [""21:57"", null]]]"
Amsterdam Centraal,London,22.01.2026,18:10,21:57,"[[""Amsterdam Centraal"", [null, ""18:10""]], [""Schiphol (Airport)"", [""18:24"", ""18:27""]], [""Rotterdam Centraal"", [""18:52"", ""18:58""]], [""Antwerpen Centraal"", [""19:30"", ""19:33""]], [""Bruxelles Midi"", [null, ""20:06""]], [""Bruxelles-Midi Eurostar"", [null, ""20:56""]], [""Lille Europe Eurostar"", [""21:30"", ""21:35""]], [""London St. Pancras International"", [""21:57"", null]]]"
Amsterdam Centraal,London,22.01.2026,18:36,08:42,"[[""Harwich International"", [null, ""06:30""]], [""Harwich International"", [null, ""07:09""]], [""Wrabness"", [""07:15"", ""07:15""]], [""Mistley"", [""07:21"", ""07:21""]], [""Manningtree"", [null, ""07:25""]], [""Manningtree"", [null, ""07:35""]], [""Colchester"", [""07:44"", ""07:44""]], [""Marks Tey"", [""07:49"", ""07:49""]], [""Witham (Essex)"", [""07:58"", ""07:58""]], [""Chelmsford"", [""08:06"", ""08:07""]], [""London-Stratford"", [""08:32"", ""08:32""]], [""London Liverpool Street"", [""08:42"", null]], [""Amsterdam Centraal"", [null, ""18:36""]], [""Amsterdam Sloterdijk"", [""18:41"", ""18:41""]], [""Haarlem"", [""18:51"", ""18:53""]], [""Heemstede-Aerdenhout"", [""18:58"", ""18:58""]], [""Leiden Centraal"", [""19:13"", ""19:15""]], [""Den Haag Laan van NOI"", [""19:23"", ""19:25""]], [""Den Haag HS"", [""19:28"", ""19:29""]], [""Delft"", [""19:36"", ""19:36""]], [""Schiedam Centrum"", [null, ""19:44""]], [""Hoek van Holland Haven"", [null, ""22:00""]]]"
Amsterdam Centraal,London,22.01.2026,18:36,08:54,"[[""Harwich International"", [null, ""06:30""]], [""Harwich International"", [null, ""07:09""]], [""Wrabness"", [""07:15"", ""07:15""]], [""Mistley"", [""07:21"", ""07:21""]], [""Manningtree"", [""07:25"", ""07:28""]], [""Colchester"", [""07:40"", ""07:50""]], [""Witham (Essex)"", [""08:02"", ""08:03""]], [""Hatfield Peverel"", [""08:07"", ""08:07""]], [""Beaulieu Park"", [""08:11"", ""08:11""]], [""Chelmsford"", [""08:15"", ""08:15""]], [""Ingatestone"", [""08:22"", ""08:22""]], [""Shenfield"", [""08:26"", ""08:27""]], [""London-Stratford"", [""08:44"", ""08:44""]], [""London Liverpool Street"", [""08:54"", null]], [""Amsterdam Centraal"", [null, ""18:36""]], [""Amsterdam Sloterdijk"", [""18:41"", ""18:41""]], [""Haarlem"", [""18:51"", ""18:53""]], [""Heemstede-Aerdenhout"", [""18:58"", ""18:58""]], [""Leiden Centraal"", [""19:13"", ""19:15""]], [""Den Haag Laan van NOI"", [""19:23"", ""19:25""]], [""Den Haag HS"", [""19:28"", ""19:29""]], [""Delft"", [""19:36"", ""19:36""]], [""Schiedam Centrum"", [null, ""19:44""]], [""Hoek van Holland Haven"", [null, ""22:00""]]]"
Amsterdam Centraal,London,22.01.2026,18:50,08:42,"[[""Harwich International"", [null, ""06:30""]], [""Harwich International"", [null, ""07:09""]], [""Wrabness"", [""07:15"", ""07:15""]], [""Mistley"", [""07:21"", ""07:21""]], [""Manningtree"", [null, ""07:25""]], [""Manningtree"", [null, ""07:35""]], [""Colchester"", [""07:44"", ""07:44""]], [""Marks Tey"", [""07:49"", ""07:49""]], [""Witham (Essex)"", [""07:58"", ""07:58""]], [""Chelmsford"", [""08:06"", ""08:07""]], [""London-Stratford"", [""08:32"", ""08:32""]], [""London Liverpool Street"", [""08:42"", null]], [""Amsterdam Centraal"", [null, ""18:50""]], [""Amsterdam Sloterdijk"", [""18:55"", ""18:55""]], [""Haarlem"", [""19:05"", ""19:07""]], [""Heemstede-Aerdenhout"", [""19:12"", ""19:12""]], [""Leiden Centraal"", [null, ""19:27""]], [""Leiden Centraal"", [null, ""19:32""]], [""Den Haag Laan van NOI"", [""19:40"", ""19:41""]], [""Den Haag HS"", [""19:44"", ""19:45""]], [""Delft"", [""19:52"", ""19:52""]], [""Schiedam Centrum"", [null, ""20:00""]], [""Hoek van Holland Haven"", [null, ""22:00""]]]"
Amsterdam Centraal,London,22.01.2026,18:50,08:54,"[[""Harwich International"", [null, ""06:30""]], [""Harwich International"", [null, ""07:09""]], [""Wrabness"", [""07:15"", ""07:15""]], [""Mistley"", [""07:21"", ""07:21""]], [""Manningtree"", [""07:25"", ""07:28""]], [""Colchester"", [""07:40"", ""07:50""]], [""Witham (Essex)"", [""08:02"", ""08:03""]], [""Hatfield Peverel"", [""08:07"", ""08:07""]], [""Beaulieu Park"", [""08:11"", ""08:11""]], [""Chelmsford"", [""08:15"", ""08:15""]], [""Ingatestone"", [""08:22"", ""08:22""]], [""Shenfield"", [""08:26"", ""08:27""]], [""London-Stratford"", [""08:44"", ""08:44""]], [""London Liverpool Street"", [""08:54"", null]], [""Amsterdam Centraal"", [null, ""18:50""]], [""Amsterdam Sloterdijk"", [""18:55"", ""18:55""]], [""Haarlem"", [""19:05"", ""19:07""]], [""Heemstede-Aerdenhout"", [""19:12"", ""19:12""]], [""Leiden Centraal"", [null, ""19:27""]], [""Leiden Centraal"", [null, ""19:32""]], [""Den Haag Laan van NOI"", [""19:40"", ""19:41""]], [""Den Haag HS"", [""19:44"", ""19:45""]], [""Delft"", [""19:52"", ""19:52""]], [""Schiedam Centrum"", [null, ""20:00""]], [""Hoek van Holland Haven"", [null, ""22:00""]]]"
Amsterdam Centraal,London,22.01.2026,21:10,08:57,"[[""Bruxelles-Midi Eurostar"", [null, ""07:57""]], [""Lille Europe Eurostar"", [""08:31"", ""08:36""]], [""London St. Pancras International"", [""08:57"", null]], [""Amsterdam Centraal"", [null, ""21:10""]], [""Schiphol (Airport)"", [""21:24"", ""21:27""]], [""Rotterdam Centraal"", [""21:52"", ""21:58""]], [""Antwerpen Centraal"", [""22:30"", ""22:33""]], [""Bruxelles Midi"", [null, ""23:06""]]]"
Amsterdam Centraal,London,22.01.2026,21:39,08:57,"[[""Maastricht"", [null, ""00:03""]], [""Maastricht"", [null, ""00:16""]], [""Maastricht Randwyck"", [""00:18"", ""00:20""]], [""Eijsden"", [""00:26"", ""00:27""]], [""Vise"", [""00:32"", ""00:33""]], [""Bressoux"", [""00:42"", ""00:43""]], [""Liège-Guillemins"", [null, ""00:50""]], [""Liège-Guillemins"", [null, ""06:00""]], [""Leuven"", [""06:34"", ""06:36""]], [""Bruxelles-Nord"", [""06:51"", ""06:54""]], [""Bruxelles-Central"", [""06:58"", ""06:59""]], [""Bruxelles Midi"", [null, ""07:03""]], [""Bruxelles-Midi Eurostar"", [null, ""07:57""]], [""Lille Europe Eurostar"", [""08:31"", ""08:36""]], [""London St. Pancras International"", [""08:57"", null]], [""Amsterdam Centraal"", [null, ""21:39""]], [""Amsterdam Amstel"", [""21:47"", ""21:47""]], [""Utrecht Centraal"", [""22:06"", ""22:09""]], [""'s-Hertogenbosch"", [""22:36"", ""22:38""]], [""Eindhoven Centraal"", [""22:58"", ""23:00""]], [""Weert"", [""23:17"", ""23:17""]], [""Roermond"", [""23:30"", ""23:31""]], [""Sittard"", [""23:46"", ""23:47""]]]"
